season,episode,actor,dialogue
1,1,KRAMER,"Oh, I can be very persuasive. Do you know that I was almost... a lawyer."
1,1,JERRY,"That close, huh?"
1,1,KRAMER,You better believe it.
1,1,JERRY,"Hello...Oh, hi, Laura."
1,1,KRAMER,"Oh, give me it...let me talk to her."
1,1,JERRY,"No believe me, I'm always up at this hour. How are you?... Great... Sure... What time does the plane get in?... I got my friend George to take me..."
1,1,KRAMER,SLIDE! Wow!
1,1,JERRY,"No, it's, it's just my neighbour... Um... Yeah, I got it. Ten-fifteen... No, don't be silly, go ahead and ask... Yeah, sure... Okay, great, no no, it's no trouble at all... I'll see you tomorrow... Great, bye. I don't believe it. That was her. She wants to stay here!"
1,1,JERRY,"If my father was moving this he'd had to have a cigarette in his mouth the whole way. 'Have you got your end?...Your ends got to come down first, easy now, drop it down...drop it down, your ends got to come down.'"
1,1,GEORGE,"You know, I can't believe you're bringin in an extra bed for woman that wants to sleep with you. Why don't you bring in an extra guy too?"
1,1,JERRY,"Look, it's a very awkward situation. I don't wanna be presumptuous."
1,1,GEORGE,"All right, all right, one more time, one more time! What was the exact phrasing of the request?"
1,1,JERRY,"All right, she said she couldn't find a decent hotel room..."
1,1,GEORGE,A decent hotel-room...
1,1,JERRY,"Yeah, a decent hotel-room, would it be terribly inconvenient if she stayed at my place."
1,1,GEORGE,"You can't be serious. This is New York city. There must be eleven million decent hotel rooms! Whatta you need? A flag?  This is the signal, Jerry, this is the signal!"
1,1,JERRY,"This is the signal? Thank you, Mr. Signal. Where we're you yesterday?"
1,1,GEORGE,I think I was affected by the caffeine.
1,1,GEORGE,"Ho, ho, ho, good dog, good dog..."
1,1,KRAMER,"Hey, he really likes you, George."
1,1,GEORGE,"Well, that's flattering."
1,1,KRAMER,"Oh, he's gettin a drink of water. Is this for that girl?"
1,1,JERRY,Yeah.
1,1,KRAMER,Why even give her an option?
1,1,JERRY,"This is a person I like, it's not How to score on spring break."
1,1,GEORGE,"Right, can we go? 'Cause I'm double-parked, I'm gonna get a ticket."
1,1,JERRY,"Yeah, okay. Oh, wait a second. Oh, I forgot to clean the bathroom."
1,1,GEORGE,So what? That's good.
1,1,JERRY,"Now, how could that be good?"
1,1,GEORGE,"Because filth is good. Whaddaya think, rock stars have sponges and ammonia lyin around the bathroom? They, have a woman comin over, I've gotta tidy up? Yeah right, in these matters you never do what your instincts tell you. Always, ALWAYS do the opposite."
1,1,JERRY,This is how you operate?
1,1,GEORGE,"Yeah, I wish."
1,1,JERRY,Let me just wipe the sink.
1,1,KRAMER,Why even give her an option for?
1,1,KRAMER,It's unbelievable.
1,1,GEORGE,Yeah.
1,1,KRAMER,How's the real estate-business?
1,1,GEORGE,"It's uh, not bad, it's comin along. Why? Did you need something."
1,1,KRAMER,Do you handle any of that commercial...real estate?
1,1,GEORGE,"Well, I might be getting into that."
1,1,KRAMER,You keep me posted!
1,1,GEORGE,"I'm aware of you. All right, let's go  Let's go!"
1,1,JERRY,"The dating world is not a fun world...it's a pressure world, it's a world of tension, it's a world of pain...and you know, if a woman comes over to my house, I gotta get that bathroom ready, 'cause she needs things. Women need equipment. I don't know what they need. I know I don't have it, I know that- You know what they need, women seem to need a lot of cotton-balls. This is the one I'm- always has been one of the amazing things to me...I have no cotton-balls, we're all human beings, what is the story? I've never had one...I never bought one, I never needed one, I've never been in a situation, when I thought to myself I could use a cotton-ball right now. I can certainly get out of this mess. Women need them and they don't need one or two, they need thousands of them, they need bags, they're like peat moss bags, have you ever seen these giant bags? They're huge and two days later, they're out, they're gone, the, the bag is empty, where are the cotton-balls, ladies? What are you doin with them? The only time I ever see em is in the bottom of your little waste basket, there's two or three, that look like they've been through some horrible experience... tortured, interrogated, I don't know what happened to them. I once went out with a girl who's left a little zip-lock-baggy of cotton-balls over at my house. I don't know what to do with them, I took them out, I put them on my kitchen floor like little tumbleweeds. I thought maybe the cockroaches would see it, figure this is a dead town. Let's move on. The dating world is a world of pressure. Let's face it a date is a job interview that lasts all night. The only difference between a date and a job interview is not many job interviews is there a chance you'll end up naked at the end of it. You know? Well, Bill, the boss thinks you're the man for the position, why don't you strip down and meet some of the people you'll be workin with?"
1,1,JERRY,Wouldn't it be great if you could ask a woman what she's thinking?
1,1,GEORGE,"What a world that would be, if you just could ask a woman what she's thinkin."
1,1,JERRY,"You know, instead, I'm like a detective. I gotta pick up clues, the whole thing is a murder investigation."
1,1,GEORGE,"Listen, listen, don't get worked up, 'cause you're gonna know the whole story the minute she steps off the plane."
1,1,JERRY,Really? How?
1,1,GEORGE,'Cause it's all in the greeting.
1,1,JERRY,Uh-huh.
1,1,GEORGE,"All right, if she puts the bags down before she greets you, that's a good sign."
1,1,JERRY,Right.
1,1,GEORGE,"You know, anything in the, in the lip area is good."
1,1,JERRY,Lip area.
1,1,GEORGE,You know a hug definitely good.
1,1,JERRY,Hug is definitely good.
1,1,GEORGE,Sure.
1,1,JERRY,"Although what if it's one of those hugs where the shoulders are touching, the hips are eight feet apart?"
1,1,GEORGE,"That's so brutal, I hate that."
1,1,JERRY,You know how they do that?
1,1,GEORGE,"That's why, you know, a shake is bad."
1,1,JERRY,"Shake is bad, but what if it's the two-hander? The hand on the bottom, the hand on the top, the warm look in the eyes?"
1,1,GEORGE,Hand sandwich.
1,1,JERRY,Right.
1,1,GEORGE,"I see, we'll, that's open to interpretation. Because so much depends on the layering and the quality of the wetness in the eyes."
1,1,LAURA,Guess who?
1,1,JERRY,"Hey, hey."
1,1,LAURA,Heeeey!
1,1,JERRY,Heeeey!
1,1,JERRY,It's good to see you.
1,1,LAURA,Hi.
1,1,JERRY,This is my friend George.
1,1,LAURA,"Hi, how nice to meet you."
1,1,GEORGE,"Hi, how are you?"
1,1,JERRY,This is Laura.
1,1,GEORGE,"Laura, sure."
1,1,JERRY,I can't believe you're here.
1,1,GEORGE,"Ooh yeah, the bags, sure."
1,1,JERRY,"Ooh yeah, the bags, sure."
1,1,LAURA,"Oh, thank you."
1,1,JERRY,"Now that was an interesting greeting, did you notice that, George?"
1,1,GEORGE,"Yes, the surprise blindfold greeting. That wasn't in the manual, I don't know."
1,1,JERRY,"So uh, what do you think?"
1,1,LAURA,"Ooohhh, wow! This place isn't so bad."
1,1,JERRY,"Yeah, it kind a motivates me to work on the road. So uh, make yourself at home. So uh, can I get you anything? Uuhhh, bread, water...salad-dressing?"
1,1,LAURA,"Actually, um, do you have any wine?"
1,1,JERRY,"Uh, yeah, I think I do."
1,1,LAURA,"Oh, do you mind if I turn this down?"
1,1,JERRY,"Uh, no, yeah, go right ahead."
1,1,LAURA,"Uh, Jerry, uh, I was wandering, would it be possible  and if it's not, fine  for me to stay here tomorrow night too?"
1,1,JERRY,"Uh, yeah, yeah, sure, why don't you stay? Yeah, uhm...What is your, what is your schedule for tomorrow? Are you, are you doin anything?"
1,1,LAURA,"No, I'd love to do something. Uh, I have my seminar in the morning, then after that I'm right open."
1,1,JERRY,Really? What would you like to do?
1,1,LAURA,"We'll... now I know this sounds touristy, but I'd just love to go on one of those five-hour boat rides around Manhattan."
1,1,JERRY,"Yeah, we could do that...why not, why not. I'm just, I'm really glad you're here."
1,1,JERRY,"Yeah, hello...yes...yes, she is, hold on. Um, it's for you."
1,1,LAURA,"Hello?... Hi!... No no it was great, right on time... No, I, I'm gonna stay here tomorrow...yes, yes it's fine... No, we're goin on a boat ride... Don't be silly... I'm not gonna have this conversation... Look, I'll call you tomorrow... Okay, bye. Never get engaged."
1,1,JERRY,You're engaged?
1,1,LAURA,"You, you really have no idea what it's like until you actually do it. And I'm on this emotional roller coaster."
1,1,JERRY,You're engaged?
1,1,LAURA,"You know, I can't believe it myself sometimes. You have to start thinking in terms of we. Ugh, it's a very stressful situation."
1,1,JERRY,You're engaged.
1,1,LAURA,"Yeah, yeah, he's a great guy..."
1,1,JERRY,Yeah.
1,1,LAURA,"You'd really like him, you know, I can't wait to get on that boat."
1,1,JERRY,Me too!
1,2,JERRY,"I swear, I have absolutely no idea what women are thinking. I don't get it, okay? I, I, I admit, I, I'm not getting the signals. I am not getting it! Women, they're so subtle, their little...everything they do is subtle. Men are not subtle, we are obvious. Women know what men want, men know what men want, what do we want? We want women, that's it! It's the only thing we know for sure, it really is. We want women. How do we get them? Oh, we don't know bout that, we don't know. The next step after that we have no idea. This is why you see men honking car-horns, yelling from construction sites. These are the best ideas we've had so far. The car-horn honk, is that a beauty? Have you seen men doing this? What is this? The man is in the car, the woman walks by the front of the car, he honks. E-eeehh, eehhh, eehhh! This man is out of ideas. How does it...? E-e-e-eeeehhhh! I don't think she likes me. The amazing thing is, that we still get women, don't we? Men, I mean, men are with women. You see men with women. How are men getting women, many people wonder. Let me tell you a little bit about our organization. Wherever women are, we have a man working on the situation right now. Now, he may not be our best man, okay, we have a lot of areas to cover, but someone from our staff is on the scene. That's why, I think, men get frustrated, when we see women reading articles, like Where to meet men? We're here, we are everywhere. We're honking our horns to serve you better."
1,2,JERRY,"So, I'm on line at the supermarket. Two women in front of me. One of them, her total was eight dollars, the other three dollars. They both of course choose to pay by the use of the..."
1,2,AUDIENCE,Cheque.
1,2,JERRY,"Cheque. Now, the fact is, if it's a woman in front of you that's writing the cheque, you will not be waiting long. I have noticed that women are very fast with cheques, yknow, 'cause they write out so many cheques. The keys, they can never find in their purse, they don't know where that is, but the cheque book they got that. They never fumble for the cheque book. The cheque book comes out of a holster  Who do I make it out to? There's my I'D. There's something about a cheque that, to a man, is not masculine. I don't know exactly what it is. I think to a man, a cheque is like a note from your mother that says, I don't have any money, but if you'll contact these people, I'm sure they'll stick up for me... If you just trust me this one time- I don't have any money but I have these. I wrote on these. Is this of any value at all?"
1,2,JERRY,What's that one?
1,2,ELAINE,Coccoon II The Return. I guess they didn't like it up there.
1,2,JERRY,"Maybe they came back for Chinese food. Yknow Maureen Stapleton, if she gets a craving, she's probably screamin at those aliens, I gotta have a lo mein!"
1,2,ELAINE,"Okay, whatre we doing here? I have seen everything."
1,2,JERRY,Oh yeah? I don't believe you've seen... this.
1,2,ELAINE,"Oh, lovely."
1,2,JERRY,Yeah.
1,2,ELAINE,What do you think their parents think?
1,2,JERRY,"So, uh, what's your son doing now, Dr. Stevens? Oh, he's a public fornicator. Yes, he's a fine boy..."
1,2,ELAINE,Yknow what? This would be a really funny gift for Pamelas birthday.
1,2,JERRY,Pamela? Do I know her?
1,2,ELAINE,"Yeah, you met her when we we're going out."
1,2,JERRY,"Oh yeah, right..."
1,2,ELAINE,"You have no idea who I'm talking about, do you?"
1,2,JERRY,No.
1,2,ELAINE,"Blonde hair, remember? Glasses?  Have you totally blocked out the entire time we we're a couple?"
1,2,JERRY,Riverside Drive.
1,2,ELAINE,"Right! In fact... No, never mind..."
1,2,JERRY,"Well, what is it?"
1,2,ELAINE,"Well, a bunch of people are getting together tomorrow night at some bar for her birthday, but... you don't want to go to... that... no."
1,2,JERRY,"Wait a second, wait a second. We could work out a little deal here."
1,2,ELAINE,What little deal?
1,2,JERRY,"I will go to that, if you go with me to a little family wedding I have on Saturday."
1,2,ELAINE,"A wedding? Have you lost it, man?"
1,2,JERRY,"Yknow, my parents are coming in for this..."
1,2,ELAINE,They're coming in?
1,2,JERRY,"Yeah, tomorrow."
1,2,ELAINE,"Hey, did your father ever get that hair weave?"
1,2,JERRY,"No, no. Still doin the big sweep across."
1,2,ELAINE,Why does he do that?
1,2,JERRY,"Doesn't think anyone can tell. So cmon, do we have a deal?"
1,2,ELAINE,A wedding?
1,2,JERRY,There's a lot of people to mock...
1,2,ELAINE,"All right, what the he'll."
1,2,JERRY,Great!
1,2,WOMAN,"When you're dead, you're dead. That's it. You're not goin anywhere..."
1,2,ELAINE,Cmon let's go...
1,2,JERRY,Was I supposed to bring something?
1,2,ELAINE,You could have.
1,2,JERRY,I met her one time...
1,2,ELAINE,It is not necessary.
1,2,JERRY,What did you say then?
1,2,ELAINE,Sssshhhhhh!!!
1,2,PAMELA,Hi
1,2,ELAINE,"Hi, Pamela, you remember Jerry."
1,2,PAMELA,"Yes, we met."
1,2,JERRY,"Hi, happy birthday."
1,2,PAMELA,"Thanks, ah, everybody, this is Elaine and Jerry."
1,2,GUESTS,Hi
1,2,JERRY,Hi
1,2,ELAINE,Hi
1,2,JERRY,I didn't bring anything.
1,2,PAMELA,"Uh, I put you two right here."
1,2,JERRY,"Oh, Okay  I'm sorry, I didn't know what to bring, nobody told me."
1,2,VANESSA,How big a tip do you think itd take to get him to stop?
1,2,JERRY,I'm in for five...
1,2,VANESSA,I'll supply the hat.
1,2,JERRY,Uh-oh... What do we have here?
1,2,VANESSA,Why don't you relax and take your jacket off?
1,2,JERRY,"Oh, I can't. Uh, I have a tendency to get chilly."
1,2,VANESSA,How masculine.
1,2,JERRY,"Plus I'm wearing short sleeves, I don't want to expose my tattoos. She's unbelievable!"
1,2,ROGER,"Hey, this guy says he knows Bricker."
1,2,VANESSA,"Oh, you know Bricker! From where?"
1,2,JERRY,"What's going on here? Gotta be her boyfriend, she's too good to be alone. What's the difference, I can't maneouver anyway with Elaine next to me."
1,2,VANESSA,How do you know Pamela?
1,2,JERRY,"Uh, friend of a friend. And you?"
1,2,VANESSA,We went to law school together.
1,2,ELAINE,"Oh, Jerry!"
1,2,JERRY,"Oh no, not now."
1,2,ELAINE,I had this dream last night and you we're in it.
1,2,JERRY,"Oh really?  Oh God, I gotta get out of this."
1,2,ELAINE,"You we're you, but, you weren't you..."
1,2,JERRY,"No kidding. Why is this happening? Please, make her stop!"
1,2,ELAINE,"I think, I think we we're in my house where I grew up, and you we're standing there, you we're looking out the window..."
1,2,JERRY,This is brutal.
1,2,ELAINE,You turned around and you had these wooden teeth.
1,2,JERRY,"How do you like that? Can I turn now? Is this over? No, I can't, I can't. I'm stuck."
1,2,ELAINE,Jerry? Are you listening to me?
1,2,JERRY,"Yes, I heard you."
1,2,PAMELA,"Elaine, what's the name of that jewelry store you took me to that time?"
1,2,JERRY,"Thank you, Pamela!  So, you're a lawyer..."
1,2,VANESSA,"Sagman, Bennet, Robbins, Oppenheim and Taft."
1,2,JERRY,"Sagman, Bennet, Robbins, Oppenheim and Taft. Sagman, Bennet, Robbins, Oppenheim and Taft... Of course, they handled my tattoo removal lawsuit."
1,2,VANESSA,"Oh, that was you?"
1,2,JERRY,"Imagine, spelling Mom with two Os."
1,2,VANESSA,Very funny! What do you do?
1,2,JERRY,Comedian.
1,2,VANESSA,Really? That explains it.
1,2,JERRY,"Sagman, Bennet, Robbins, Oppenheim and Taft. Sagman, Bennet, Robbins, Oppenheim and Taft."
1,2,ROGER,Are you ready?
1,2,VANESSA,We gotta run. Happy birthday!
1,2,JERRY,"I can't believe it. I got nothing! I don't even know her name! Sagman, Bennet, Robbins, Oppenheim and Taft. Sagman, Bennet, Robbins, Oppen... Sagman... Sag..."
1,2,JERRY,"That wasn't so bad, really."
1,2,ELAINE,"Yknow, um, you could use a little work on your manners."
1,2,JERRY,Why? What did I do?
1,2,ELAINE,"Well-Well, I just don't appreciate these little courtesy responses, like I'm selling you aluminum siding."
1,2,JERRY,I was listening!
1,2,ELAINE,No! You couldn't wait to get back to your little... conversation.
1,2,JERRY,"No, you we're talking about the, the um, the dream you had."
1,2,ELAINE,Uh-huh...
1,2,JERRY,"Where you had, uh, wooden teeth."
1,2,ELAINE,"No! No! You had wooden teeth! You had wooden teeth! I didn't have wooden teeth, you did!"
1,2,JERRY,"All right, so I had wooden teeth, so what?"
1,2,ELAINE,So nothing! Nothing.
1,2,JERRY,"Apparently Plato, who came up with the concept of the platonic relationship, was pretty excited about it. He named it after himself. He said, Yeah, I got this new thing Platonic. My idea, my name, callin it after myself. What I do is, I go out with the girls, I talk with them- don't do anything, and go right home. What'd you think? I think it's going to be big! I bet you there we're other guys in history that tried to get relationships named after them, but it didn't work. Yknow, I bet you there we're guys who tried to do it, just went, Uh, Hi, uh my names Rico. Would you like to go to bed immediately? Hey, it's a Riconic relationship."
1,2,JERRY,Hey!
1,2,MORTY,"Ah, there he is!"
1,2,JERRY,"This is what I like, see? You come home and your parents are in your bed!"
1,2,HELEN,"Yknow, Jerry, we don't have to do this."
1,2,JERRY,"What are you talkin about? It's fine, I love having you here."
1,2,HELEN,Tomorrow we'll go to a hotel.
1,2,JERRY,"Ma, will you stop?"
1,2,HELEN,"No, why should we take over your apartment?"
1,2,JERRY,I don't care. I'm sleeping next door.
1,2,HELEN,Your friend Kramer doesn't mind?
1,2,JERRY,"No, he's making a bouillabaisse."
1,2,JERRY,"So, dad, lemme ask you a question. How many people work at these big law offices?"
1,2,MORTY,Depends on the firm.
1,2,JERRY,"Yeah, but if you called up and described someone, do you think they would know who it was?"
1,2,MORTY,What's the matter? You need a lawyer?
1,2,JERRY,"No, I met someone at this party, and I know where she works, but I don't know her name."
1,2,MORTY,So why don't you ask someone who was at the party?
1,2,JERRY,"Nah, the only one I could ask is Elaine, and I can't ask her."
1,2,HELEN,Why not?
1,2,JERRY,Because it's complicated. There's some tension there.
1,2,HELEN,He used to go with her.
1,2,HELEN,Which one is she?
1,2,MORTY,From Maryland. The one who brought you the chocolate covered cherries you didn't like.
1,2,HELEN,"Oh yeah, very alert. Warm person."
1,2,JERRY,"Oh yeah, she's great."
1,2,HELEN,"So, how come nothing materialized there?"
1,2,JERRY,"Well, it's a tough thing to talk about uh. I dunno..."
1,2,HELEN,I know what it was.
1,2,JERRY,You don't know what it was.
1,2,HELEN,"So, what was it?"
1,2,JERRY,"Well, we fight a lot for some reason."
1,2,HELEN,"Oh, we'll..."
1,2,MORTY,"Oh, we'll..."
1,2,JERRY,And there was a little problem with the physical chemistry.
1,2,HELEN,"Well, I think she's a very attractive girl."
1,2,JERRY,"Oh, she is, she absolutely is."
1,2,HELEN,I can see if there was a weight problem...
1,2,JERRY,"No, it's not that. It wasn't all one-sided."
1,2,HELEN,"You know, you can't be so particular. Nobodys perfect."
1,2,JERRY,"I know, I know..."
1,2,MORTY,"Yknow Jerry, it's a good thing I wasn't so particular."
1,2,HELEN,"Idiot. So whore you looking for, Sophia Loren?"
1,2,JERRY,That's got nothin to do with it.
1,2,MORTY,How about Loni Anderson?
1,2,HELEN,Where do you get Loni Anderson?
1,2,MORTY,"Why, what's wrong with Loni Anderson?"
1,2,HELEN,I like Elaine more than Loni Anderson.
1,2,JERRY,"What are you two talking about? Look, Elaine just wasn't the one."
1,2,HELEN,And this other ones the one?
1,2,JERRY,"I dunno, maybe..."
1,2,MORTY,So ask Elaine there for her number.
1,2,JERRY,"I can't. She'll get upset. I never talk about other women with her, especially this one tonight."
1,2,HELEN,How could you still see her if your not interested?
1,2,JERRY,We're friends.
1,2,MORTY,Doesn't sound like you're friends to me. If you we're friends you'd-you'd ask her for the number. Do you know where this other one works?
1,2,JERRY,Oh yeah.
1,2,MORTY,"Well, go up to the office."
1,2,HELEN,Up to her office?
1,2,MORTY,"Go to the building. She goes out to lunch, doesn't she?"
1,2,JERRY,I guess.
1,2,MORTY,"So, you stand in the lobby, by the elevator, and wait for her to come down for lunch."
1,2,JERRY,You mean stakeout the lobby?
1,2,HELEN,"Morty, that's ridiculous. Just ask Elaine for the number!"
1,2,MORTY,He doesn't want to ask Elaine for the number.
1,2,HELEN,So you've got him standing by the elevator like a dope! What happens when he sees her?
1,2,MORTY,He pretends he bumped into her!
1,2,JERRY,Yknow what? This is not that bad an idea.
1,2,GEORGE,What does she look like?
1,2,JERRY,I dunno. Hard to say.
1,2,GEORGE,What actress does she remind you of?
1,2,JERRY,Loni Anderson.
1,2,GEORGE,Loni Anderson?!
1,2,JERRY,"What, there's something wrong with Loni Anderson?  Hey listen, thanks again for running over here. I appreciate it."
1,2,GEORGE,"Yeah, sure. I was showing a condo on 48th street. Besides, you think I wanna miss this?"
1,2,JERRY,I'm a little nervous.
